scenario_id,style_axis,input_text,style_A,style_B,content_checks,reference_text_A,reference_text_B,author_1_content_consistent,author_1_style_isolated,author_1_separation_sufficient,author_1_length_not_dominant,author_1_no_new_fact_or_contradiction,author_1_notes,author_2_content_consistent,author_2_style_isolated,author_2_separation_sufficient,author_2_length_not_dominant,author_2_no_new_fact_or_contradiction,author_2_notes,approval_status
emotion_apology_034,emotion_apology,超市排队结账时间过长，顾客表达不满，店员需安抚并加开窗口。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,排队时间长；顾客不满；安抚；加开窗口,,,,,,,,,,,,,,,external_pending
emotion_apology_030,emotion_apology,小区公共区域照明损坏，物业需向居民致歉并告知维修进度。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,照明损坏；致歉；告知进度,,,,,,,,,,,,,,,external_pending
emotion_apology_019,emotion_apology,因航班延误，航空公司需向乘客解释原因并提供后续安排。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,航班延误；解释原因；后续安排,,,,,,,,,,,,,,,external_pending
emotion_apology_023,emotion_apology,办公区空调故障影响工作，行政需向员工说明情况并致歉。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,空调故障；影响工作；说明情况；致歉,,,,,,,,,,,,,,,external_pending
emotion_apology_037,emotion_apology,家中水管突然破裂，物业需安抚情绪并告知维修预计到达时间。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,水管破裂；物业；安抚情绪；维修时间,,,,,,,,,,,,,,,external_pending
emotion_apology_035,emotion_apology,学生提交作业后系统未显示提交成功，需协助检查并重新提交。,冷静、客气、宽容，不指责对方,愤怒、强硬、明确表达投诉意愿，但不使用脏话或人身攻击,作业提交；系统未显示；协助检查；重新提交,,,,,,,,,,,,,,,external_pending
empathy_clinical_027,empathy_clinical,公共办事窗口排队时间长，市民感到焦急并希望加快流程。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,排队时间长；市民焦急；希望加快,,,,,,,,,,,,,,,external_pending
empathy_clinical_022,empathy_clinical,最近睡眠变差，白天精神不振，希望找到改善睡眠的方法。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,睡眠变差；精神不振；改善方法,,,,,,,,,,,,,,,external_pending
empathy_clinical_021,empathy_clinical,孩子第一次独自过夜，家长既期待成长又担心安全。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,孩子独自过夜；家长矛盾心理；安全担忧,,,,,,,,,,,,,,,external_pending
empathy_clinical_002,empathy_clinical,社区新政策实施后，邻里对公共空间使用产生分歧，沟通困难。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,新政策实施；公共空间使用分歧；沟通困难,,,,,,,,,,,,,,,external_pending
empathy_clinical_023,empathy_clinical,连续加班后身体出现不适，担心影响工作状态，询问休息建议。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,连续加班；身体不适；休息建议,,,,,,,,,,,,,,,external_pending
empathy_clinical_003,empathy_clinical,网购的商品与描述不符，商家推诿责任，感到失望和困惑。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,商品与描述不符；商家推诿责任；感到失望,,,,,,,,,,,,,,,external_pending
empathy_clinical_026,empathy_clinical,学习新技能遇到瓶颈，学习者感到挫败并需要鼓励。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,学习瓶颈；感到挫败；需要鼓励,,,,,,,,,,,,,,,external_pending
empathy_clinical_013,empathy_clinical,项目截止日期临近，感到进度滞后且压力很大，需要确认当前状态是否可行。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,项目截止日期临近；进度滞后；压力很大,,,,,,,,,,,,,,,external_pending
empathy_clinical_030,empathy_clinical,日常生活中琐事堆积，感觉时间不够用，身心俱疲，需要调整节奏。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,琐事堆积；时间不够用；身心俱疲,,,,,,,,,,,,,,,external_pending
empathy_clinical_032,empathy_clinical,身体不适导致失眠，当事人感到困扰但不愿过度恐慌。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励,身体不适失眠；感到困扰；避免恐慌,,,,,,,,,,,,,,,external_pending
expertise_explain_040,expertise_explain,为什么天空在白天看起来是蓝色的而不是其他颜色？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,天空；白天；蓝色；颜色选择,,,,,,,,,,,,,,,external_pending
expertise_explain_009,expertise_explain,为什么我们要去学校学习知识而不是在家自学？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,去学校；学习知识；在家自学；原因解释,,,,,,,,,,,,,,,external_pending
expertise_explain_029,expertise_explain,为什么用热水洗碗比用冷水更容易去掉油渍？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,热水；洗碗；冷水；油渍,,,,,,,,,,,,,,,external_pending
expertise_explain_020,expertise_explain,解释为什么电脑运行多个程序会变慢。,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,电脑；多程序运行；变慢原因,,,,,,,,,,,,,,,external_pending
expertise_explain_027,expertise_explain,说明公交车到站时间为何有时不准时。,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,公交车；到站时间；不准时原因,,,,,,,,,,,,,,,external_pending
expertise_explain_032,expertise_explain,为什么飞机在高空飞行时能比在地面飞得更快？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,飞机；高空；速度；地面,,,,,,,,,,,,,,,external_pending
expertise_explain_023,expertise_explain,说明手机屏幕亮度自动调节的工作原理。,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,手机屏幕；亮度调节；自动工作,,,,,,,,,,,,,,,external_pending
expertise_explain_002,expertise_explain,为什么冬天我们会感觉冷而夏天感觉热？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,冬天冷；夏天热；温度变化；原因解释,,,,,,,,,,,,,,,external_pending
expertise_explain_010,expertise_explain,为什么工厂排放废气会污染空气，影响呼吸？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,工厂排放废气；影响呼吸,,,,,,,,,,,,,,,external_pending
expertise_explain_008,expertise_explain,为什么小朋友长身体时要多吃饭，少挑食？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念,长身体多吃饭；少挑食,,,,,,,,,,,,,,,external_pending
formality_request_006,formality_request,向政府部门提交关于增加社区停车位需求的正式申请报告。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,增加停车位；需求申请；正式报告,,,,,,,,,,,,,,,external_pending
formality_request_007,formality_request,提醒用户系统将于今晚进行维护升级，期间无法登录使用。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,今晚；系统维护升级；无法登录,,,,,,,,,,,,,,,external_pending
formality_request_003,formality_request,通知家长本周五学校将组织春季郊游活动，需提前签署同意书。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,本周五；春季郊游活动；签署同意书,,,,,,,,,,,,,,,external_pending
formality_request_024,formality_request,家长需向老师说明孩子明天因事无法参加集体活动。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,向老师说明；孩子无法参加；明天集体活动,,,,,,,,,,,,,,,external_pending
formality_request_013,formality_request,请提供您想订购的三种商品名称以便核对库存。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,提供三种商品；核对库存；订购意向,,,,,,,,,,,,,,,external_pending
formality_request_004,formality_request,通知家人周末聚会地点改在公园，请大家准时到达准备野餐。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,周末聚会；改在公园；准时到达,,,,,,,,,,,,,,,external_pending
formality_request_010,formality_request,朋友间建议周末去新开的咖啡馆坐坐聊聊近况。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,建议周末去咖啡馆；聊聊近况；朋友间闲聊,,,,,,,,,,,,,,,external_pending
formality_request_017,formality_request,本周末将暂停部分区域的供水，请提前储水备用。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,本周末；暂停供水；提前储水,,,,,,,,,,,,,,,external_pending
formality_request_037,formality_request,根据最新规定，外地户籍人员申请居住证需携带身份证及居住证明前往办理。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,最新规定；外地户籍；居住证；身份证及居住证明,,,,,,,,,,,,,,,external_pending
formality_request_021,formality_request,楼下超市正在搞促销活动，买一送一，你要不要一起去看看。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感,楼下超市；促销活动；买一送一；一起去看看,,,,,,,,,,,,,,,external_pending
humor_neutral_040,humor_neutral,公司会议室的投影仪突然故障，导致演示中断，需临时更换设备。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,会议室；投影仪故障；演示中断,,,,,,,,,,,,,,,external_pending
humor_neutral_037,humor_neutral,办理户籍迁移时，窗口工作人员要求补充一份证明材料，流程因此延长。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,户籍迁移；补充材料；流程延长,,,,,,,,,,,,,,,external_pending
humor_neutral_026,humor_neutral,住户咨询遇到房屋漏水问题时应如何联系物业并进行初步处理。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,房屋漏水；联系物业；初步处理,,,,,,,,,,,,,,,external_pending
humor_neutral_021,humor_neutral,社区居民询问如何参与组织邻里互助活动以改善居住环境。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,参与邻里互助活动；改善居住环境,,,,,,,,,,,,,,,external_pending
humor_neutral_007,humor_neutral,社区服务中心的办事流程太繁琐，排队时间过长导致体验不佳。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,社区服务中心；流程繁琐；排队时间长,,,,,,,,,,,,,,,external_pending
humor_neutral_008,humor_neutral,手机软件更新后，原本熟悉的界面布局变得复杂难用。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,软件更新；界面变复杂；难用,,,,,,,,,,,,,,,external_pending
humor_neutral_009,humor_neutral,周末去公园野餐时，突然下起大雨，大家来不及收拾食物。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,公园野餐；突然下雨；食物未收拾完,,,,,,,,,,,,,,,external_pending
humor_neutral_024,humor_neutral,家长需要咨询如何帮助孩子培养规律的学习习惯以提高专注力。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,培养规律学习习惯；提高专注力,,,,,,,,,,,,,,,external_pending
humor_neutral_039,humor_neutral,通勤路上遇到暴雨，导致公交车晚点，需要重新规划回家路线。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,暴雨天气；公交车晚点；需要调整路线,,,,,,,,,,,,,,,external_pending
humor_neutral_027,humor_neutral,市民想要了解前往政务大厅办理证件所需的材料和具体流程。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题,前往政务大厅；办理证件；所需材料；具体流程,,,,,,,,,,,,,,,external_pending
objectivity_cat_037,objectivity_cat,午后的阳光洒在斑驳的长椅上，孩子稚嫩的手递过红润的苹果，分享着甜蜜的温情。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,阳光；长椅；孩子；苹果,,,,,,,,,,,,,,,external_pending
objectivity_cat_036,objectivity_cat,雨珠在窗玻璃上汇聚成流，像断了线的珍珠，敲打着寂静的午后时光。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,雨珠；玻璃；流水；午后,,,,,,,,,,,,,,,external_pending
objectivity_cat_020,objectivity_cat,高铁车厢内，窗外的风景从密集楼房渐变为连绵起伏的绿色田野。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,高铁车厢；窗外风景；密集楼房；绿色田野,,,,,,,,,,,,,,,external_pending
objectivity_cat_032,objectivity_cat,夕阳的余晖染红了广场，居民手中的剪刀轻舞，将凋零的落叶化作滋养新绿的养分。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,夕阳；广场；剪刀；落叶,,,,,,,,,,,,,,,external_pending
objectivity_cat_022,objectivity_cat,社区居民在广场上共同修剪花坛，清理落叶。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,居民；广场；花坛；落叶,,,,,,,,,,,,,,,external_pending
objectivity_cat_040,objectivity_cat,幽暗的展厅中，游客屏息凝视，古老壁画的色彩在时光中低语，诉说着千年的故事。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,展厅；游客；壁画；色彩,,,,,,,,,,,,,,,external_pending
objectivity_cat_007,objectivity_cat,地铁站台的屏蔽门缓缓关闭，广播响起提示列车即将进站。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,地铁站台；屏蔽门关闭；广播提示；列车进站,,,,,,,,,,,,,,,external_pending
objectivity_cat_018,objectivity_cat,暴雨冲刷着城市街道，积水倒映着路灯和行色匆匆的行人。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,暴雨；城市街道；积水；路灯倒影,,,,,,,,,,,,,,,external_pending
objectivity_cat_001,objectivity_cat,社区广场上老人打着太极，动作舒缓，周围绿树成荫。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,社区广场；打太极；动作舒缓；绿树,,,,,,,,,,,,,,,external_pending
objectivity_cat_038,objectivity_cat,斑驳的公告栏前，工作人员小心翼翼抚平纸张的褶皱，居民的目光在文字间流转，汇聚成无声的共鸣。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽,公告栏；纸张；居民；文字,,,,,,,,,,,,,,,external_pending
politeness_refusal_033,politeness_refusal,请求提供某款新产品的试用申请资格，需对方明确告知是否符合条件。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,新产品试用申请；资格；明确告知是否符合条件,,,,,,,,,,,,,,,external_pending
politeness_refusal_010,politeness_refusal,健康中心推荐非必要的营养补充剂，请礼貌说明暂不需要。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,拒绝推荐；营养补充剂；暂不需要,,,,,,,,,,,,,,,external_pending
politeness_refusal_020,politeness_refusal,咨询健身房是否提供临时体验卡，但工作人员表示目前不提供此类服务。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,临时体验卡；不提供服务；健身咨询,,,,,,,,,,,,,,,external_pending
politeness_refusal_017,politeness_refusal,旅行团提议更改既定行程，需要表示不同意。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,旅行团；更改行程；不同意,,,,,,,,,,,,,,,external_pending
politeness_refusal_038,politeness_refusal,请求协助处理一份紧急的文档翻译任务，需对方确认能否按时交付。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,文档翻译；紧急任务；确认能否交付,,,,,,,,,,,,,,,external_pending
politeness_refusal_035,politeness_refusal,询问是否愿意前往公共服务点领取资料，需对方明确答复能否前往。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,公共服务点；领取资料；明确答复能否前往,,,,,,,,,,,,,,,external_pending
politeness_refusal_013,politeness_refusal,客户提出延长保修期限要求，需要告知无法满足。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,客户；延长保修；无法满足,,,,,,,,,,,,,,,external_pending
politeness_refusal_009,politeness_refusal,朋友邀请周末去爬山，但我不想去，请给出拒绝理由。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,拒绝爬山邀请；周末时间；给出理由,,,,,,,,,,,,,,,external_pending
politeness_refusal_024,politeness_refusal,请求同学帮忙讲解数学作业中的难题，但对方表示最近太忙无法辅导。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,帮忙讲解数学题；太忙；无法辅导,,,,,,,,,,,,,,,external_pending
politeness_refusal_039,politeness_refusal,朋友邀请周末去爬山，你因身体原因无法同行。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由,拒绝邀请；周末爬山；身体原因,,,,,,,,,,,,,,,external_pending
