scenario_id,style_axis,selection_seed,purpose,input_text,style_A,style_B
empathy_clinical_030,empathy_clinical,20260915,shared_anchor,日常生活中琐事堆积，感觉时间不够用，身心俱疲，需要调整节奏。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
empathy_clinical_032,empathy_clinical,20260915,shared_anchor,身体不适导致失眠，当事人感到困扰但不愿过度恐慌。,临床冷静、客观描述、少情绪安慰,高共情、安慰性强、承认对方感受并鼓励
expertise_explain_040,expertise_explain,20260915,shared_anchor,为什么天空在白天看起来是蓝色的而不是其他颜色？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_009,expertise_explain,20260915,shared_anchor,为什么我们要去学校学习知识而不是在家自学？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_029,expertise_explain,20260915,shared_anchor,为什么用热水洗碗比用冷水更容易去掉油渍？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_020,expertise_explain,20260915,shared_anchor,解释为什么电脑运行多个程序会变慢。,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_027,expertise_explain,20260915,shared_anchor,说明公交车到站时间为何有时不准时。,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_032,expertise_explain,20260915,shared_anchor,为什么飞机在高空飞行时能比在地面飞得更快？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_023,expertise_explain,20260915,shared_anchor,说明手机屏幕亮度自动调节的工作原理。,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_002,expertise_explain,20260915,shared_anchor,为什么冬天我们会感觉冷而夏天感觉热？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_010,expertise_explain,20260915,shared_anchor,为什么工厂排放废气会污染空气，影响呼吸？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
expertise_explain_008,expertise_explain,20260915,shared_anchor,为什么小朋友长身体时要多吃饭，少挑食？,面向五岁儿童的幼儿园老师，生动、简单、带比喻,面向物理学博士后的学术解释，术语密集、严谨、可含公式或专业概念
formality_request_006,formality_request,20260915,shared_anchor,向政府部门提交关于增加社区停车位需求的正式申请报告。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_007,formality_request,20260915,shared_anchor,提醒用户系统将于今晚进行维护升级，期间无法登录使用。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_003,formality_request,20260915,shared_anchor,通知家长本周五学校将组织春季郊游活动，需提前签署同意书。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_024,formality_request,20260915,shared_anchor,家长需向老师说明孩子明天因事无法参加集体活动。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_013,formality_request,20260915,shared_anchor,请提供您想订购的三种商品名称以便核对库存。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_004,formality_request,20260915,shared_anchor,通知家人周末聚会地点改在公园，请大家准时到达准备野餐。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_010,formality_request,20260915,shared_anchor,朋友间建议周末去新开的咖啡馆坐坐聊聊近况。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_017,formality_request,20260915,shared_anchor,本周末将暂停部分区域的供水，请提前储水备用。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_037,formality_request,20260915,shared_anchor,根据最新规定，外地户籍人员申请居住证需携带身份证及居住证明前往办理。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
formality_request_021,formality_request,20260915,shared_anchor,楼下超市正在搞促销活动，买一送一，你要不要一起去看看。,口语、随意、像朋友之间聊天,正式、公文式、措辞规范、礼貌但有距离感
humor_neutral_040,humor_neutral,20260915,shared_anchor,公司会议室的投影仪突然故障，导致演示中断，需临时更换设备。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_037,humor_neutral,20260915,shared_anchor,办理户籍迁移时，窗口工作人员要求补充一份证明材料，流程因此延长。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_026,humor_neutral,20260915,shared_anchor,住户咨询遇到房屋漏水问题时应如何联系物业并进行初步处理。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_021,humor_neutral,20260915,shared_anchor,社区居民询问如何参与组织邻里互助活动以改善居住环境。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_007,humor_neutral,20260915,shared_anchor,社区服务中心的办事流程太繁琐，排队时间过长导致体验不佳。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_008,humor_neutral,20260915,shared_anchor,手机软件更新后，原本熟悉的界面布局变得复杂难用。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_009,humor_neutral,20260915,shared_anchor,周末去公园野餐时，突然下起大雨，大家来不及收拾食物。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_024,humor_neutral,20260915,shared_anchor,家长需要咨询如何帮助孩子培养规律的学习习惯以提高专注力。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_039,humor_neutral,20260915,shared_anchor,通勤路上遇到暴雨，导致公交车晚点，需要重新规划回家路线。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
humor_neutral_027,humor_neutral,20260915,shared_anchor,市民想要了解前往政务大厅办理证件所需的材料和具体流程。,中性、平实、无玩笑,幽默、轻微吐槽、有俏皮表达，但不跑题
objectivity_cat_037,objectivity_cat,20260915,shared_anchor,午后的阳光洒在斑驳的长椅上，孩子稚嫩的手递过红润的苹果，分享着甜蜜的温情。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_036,objectivity_cat,20260915,shared_anchor,雨珠在窗玻璃上汇聚成流，像断了线的珍珠，敲打着寂静的午后时光。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_020,objectivity_cat,20260915,shared_anchor,高铁车厢内，窗外的风景从密集楼房渐变为连绵起伏的绿色田野。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_032,objectivity_cat,20260915,shared_anchor,夕阳的余晖染红了广场，居民手中的剪刀轻舞，将凋零的落叶化作滋养新绿的养分。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_022,objectivity_cat,20260915,shared_anchor,社区居民在广场上共同修剪花坛，清理落叶。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_040,objectivity_cat,20260915,shared_anchor,幽暗的展厅中，游客屏息凝视，古老壁画的色彩在时光中低语，诉说着千年的故事。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_007,objectivity_cat,20260915,shared_anchor,地铁站台的屏蔽门缓缓关闭，广播响起提示列车即将进站。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_018,objectivity_cat,20260915,shared_anchor,暴雨冲刷着城市街道，积水倒映着路灯和行色匆匆的行人。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_001,objectivity_cat,20260915,shared_anchor,社区广场上老人打着太极，动作舒缓，周围绿树成荫。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
objectivity_cat_038,objectivity_cat,20260915,shared_anchor,斑驳的公告栏前，工作人员小心翼翼抚平纸张的褶皱，居民的目光在文字间流转，汇聚成无声的共鸣。,客观观察记录，像医学或生物学记录，克制、无感情色彩,抒情现代散文诗，意象丰富、情感浓、辞藻华丽
politeness_refusal_033,politeness_refusal,20260915,shared_anchor,请求提供某款新产品的试用申请资格，需对方明确告知是否符合条件。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_010,politeness_refusal,20260915,shared_anchor,健康中心推荐非必要的营养补充剂，请礼貌说明暂不需要。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_020,politeness_refusal,20260915,shared_anchor,咨询健身房是否提供临时体验卡，但工作人员表示目前不提供此类服务。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_017,politeness_refusal,20260915,shared_anchor,旅行团提议更改既定行程，需要表示不同意。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_038,politeness_refusal,20260915,shared_anchor,请求协助处理一份紧急的文档翻译任务，需对方确认能否按时交付。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_035,politeness_refusal,20260915,shared_anchor,询问是否愿意前往公共服务点领取资料，需对方明确答复能否前往。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_013,politeness_refusal,20260915,shared_anchor,客户提出延长保修期限要求，需要告知无法满足。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_009,politeness_refusal,20260915,shared_anchor,朋友邀请周末去爬山，但我不想去，请给出拒绝理由。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_024,politeness_refusal,20260915,shared_anchor,请求同学帮忙讲解数学作业中的难题，但对方表示最近太忙无法辅导。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
politeness_refusal_039,politeness_refusal,20260915,shared_anchor,朋友邀请周末去爬山，你因身体原因无法同行。,直白、不委婉、略显生硬，但不侮辱,委婉、礼貌、照顾对方面子，给出缓冲理由
